product_id,num__log_discounted_price,num__log_actual_price,num__discount_percentage,num__log_rating_count,num__log_review_length,cat__main_category_Accessories&Peripherals,cat__main_category_Cameras&Photography,cat__main_category_ExternalDevices&DataStorage,"cat__main_category_Headphones,Earbuds&Accessories","cat__main_category_Heating,Cooling&AirQuality",cat__main_category_HomeAudio,cat__main_category_HomeStorage&Organization,"cat__main_category_HomeTheater,TV&Video",cat__main_category_Kitchen&HomeAppliances,cat__main_category_Mobiles&Accessories,cat__main_category_NetworkingDevices,cat__main_category_OfficePaperProducts,cat__main_category_Other,cat__main_category_WearableTechnology,shap_value_num__log_discounted_price,shap_value_num__log_actual_price,shap_value_num__discount_percentage,shap_value_num__log_rating_count,shap_value_num__log_review_length,shap_value_cat__main_category_Accessories&Peripherals,shap_value_cat__main_category_Cameras&Photography,shap_value_cat__main_category_ExternalDevices&DataStorage,"shap_value_cat__main_category_Headphones,Earbuds&Accessories","shap_value_cat__main_category_Heating,Cooling&AirQuality",shap_value_cat__main_category_HomeAudio,shap_value_cat__main_category_HomeStorage&Organization,"shap_value_cat__main_category_HomeTheater,TV&Video",shap_value_cat__main_category_Kitchen&HomeAppliances,shap_value_cat__main_category_Mobiles&Accessories,shap_value_cat__main_category_NetworkingDevices,shap_value_cat__main_category_OfficePaperProducts,shap_value_cat__main_category_Other,shap_value_cat__main_category_WearableTechnology
B08XMG618K,5.420534999272286,6.214608098422191,55.0,6.672032945461067,5.583496308781699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023422777726518688,-0.014175619296875084,-0.007081696222594473,-0.02921964339024271,0.0014146894094301387,0.06444157568505034,0.0,-0.0003460963837278541,0.011874011963082012,0.006738691877835663,8.686802932061254e-05,0.0008597752498462796,0.004125727826321963,0.0012988655954541172,0.0010536445913021453,-0.00012125727836973965,-0.0010178187320707367,-0.0016854691779008134,0.0010292272109654731
B09YV4MW2T,7.696212639346407,9.210340371976184,78.0,10.291195939055031,7.52131798019924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.009884979777998524,0.005780555140081561,-0.019993402531108585,0.07992716351203853,0.0307055635706638,-0.00520577982882969,0.0,-0.000792260809103027,0.023690236242255195,0.0006553397150128148,5.525002256035805e-05,0.0004252671278663911,0.0006800676419516094,0.012032727530022385,0.0016490379940660204,-0.00032101264165248724,-0.0005594743709661998,-0.002133819495502394,-0.022511812445300164
B07GXHC691,4.605170185988092,6.214608098422191,80.0,10.660594962054953,7.115582126184454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.007131761445562006,-0.016915661038656254,0.001322043610707624,0.09153383299228153,0.028016232299269177,-0.0025910669431323187,0.0,-0.00035764473577728497,0.02641249598178547,0.001255990833742544,0.00012684335000813008,0.0005731050870963373,0.0009428372982074507,0.016363401542766953,0.0028229943913174794,-0.0001863039453746751,-0.0007766811299370602,-0.0011773034546058625,0.0017483850706776138
B09F3PDDRF,5.857933154483459,6.907755278982137,65.0,6.706862336602747,7.428333194190806,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013256631013646256,-9.013398288516327e-05,-0.012709753702074522,-0.06451726770232198,-0.007141025575547247,0.03194455316741369,0.0,-0.0002974404097767547,0.012436191771412268,0.0075121887828572655,0.00015140919480472804,0.0006359340506605804,0.002217727506213123,0.001621549576666439,0.002317557810165454,-0.0001584808953339234,-0.0009120530659856741,-0.0011588033377483954,0.0010666262944869231
B08CF3D7QR,5.043425116919247,5.828945617610208,55.0,9.502412792729256,6.776506992372183,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006800903189287056,-0.014452733531215926,0.03225337329313334,0.05679520957855857,-0.00270287410596211,0.018333224649832117,0.0,-0.000313835151901003,0.0302743327288772,0.0018515510484576226,0.00015591523551847786,0.001159911104477942,0.0023473554454540137,0.0016753411518584472,0.003299330890440615,-7.797989877872169e-05,-0.0011412667541299015,-0.0018885256910289173,0.0016638598690042273
B09CMQRQM6,6.214608098422191,6.802394763324311,44.0,6.824373670043086,7.166265974133638,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008882383908785414,0.004832695406803395,0.004255187843227759,-0.058764928560849514,0.0011370598577195778,0.07081711696548154,0.0,-0.00032352604990592226,0.013164196696307045,0.006259161600319203,0.00016308169753756374,0.0005957235785899684,0.002512790690525435,0.0019614498627197464,0.002210634987714002,-0.00016343088209396227,-0.0008983698787051253,-0.0013179253225098365,0.0010689149812969844
B0B25DJ352,5.869296913133774,7.090076835776092,71.0,6.4457198193855785,6.641182169740591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02519943265579059,0.013724302738992264,0.00248957305404474,-0.00815591334045166,0.02811905536800623,-0.011326375699864001,0.0,-0.0003621001815190539,0.012268464640656021,0.011639214876631741,0.0001332252862630412,0.0007545143066090532,0.00459787840343779,-0.007839878239901737,0.0007175945668132044,-0.00013355264600249938,-0.000900807383004576,-0.0016050546712358482,0.001092692564270692
B0B94JPY2N,5.298317366548036,6.907755278982137,80.0,0.0,6.102558594613569,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015524749170435826,-0.0017527465772582218,-0.027519099805649604,0.014376280730648432,-0.0031171329617791345,0.043772185138659554,0.0,-0.00040550394041929396,0.011888835200516042,0.004054990705189994,8.672426862176508e-05,0.0007169233349850401,0.0013301528416923248,0.005729992463166127,0.00038939038538956085,-0.00011320240882923826,-0.0007988114116596989,-0.001112191266438458,0.0011697534508130047
B09HN7LD5L,7.523481312573497,8.412054873292933,59.0,5.220355825078324,6.369900982828227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006405934964714106,-0.0020571260945871474,-0.000495255540299695,-0.06410804060462397,0.006894109731802018,-0.02100192185956985,0.0,-0.000869948985055089,0.011032888375339098,0.0024669259553775193,7.275028270669282e-05,0.0005716637641307898,-0.005980258348427014,0.0010811388310685288,-0.0003394383429258596,-0.0001704843930201605,-0.0008052938742912374,-0.001962537785002496,0.001079056085436605
B0B5GF6DQD,7.824046010856292,8.699514748210191,58.0,6.720220155135295,5.598421958998375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00753889201223501,-0.01134993447587476,-0.011659385728999041,-0.051843110522459025,-0.014390161336195887,-0.026926271094125695,0.0,-0.000651631208602339,0.00961976460297592,0.002681489873502869,3.7117511965334415e-05,0.0006117418495705351,0.0015468937042169273,0.0006905046768952161,-0.00029938432373455726,-0.00017112005327362567,-0.0008565494700451382,-0.0021092290704837068,-0.015502642898791236
