product_id,product_name,main_category,rating,rating_count,m_value,category_mean_rating,is_suspicious,bayesian_rating,rating_gap,rating_rank,bayesian_rank,rank_change,target_rule
B0B86CDHL1,"oraimo 65W Type C to C Fast Charging Cable USB C to USB C Cable High Speed Syncing, Nylon Braided 1M length with LED Indicator Compatible For Laptop, Macbook, Samsung Galaxy S22 S20 S10 S20Fe S21 S21 Ultra A70 A51 A71 A50S M31 M51 M31S M53 5G",Accessories&Peripherals,4.5,149.0,1313.0,4.145,True,4.1812,0.3188,32,552,520,suspicious: apply Bayesian formula
B0B54Y2SNX,"iPhone Original 20W C Type Fast PD Charger Compatible with I-Phone13/13 mini/13pro/13 pro Max I-Phone 12/12 Pro/12mini/12 Pro Max, I-Phone11/11 Pro/11 Pro Max 2020 (Only Adapter)",Mobiles&Accessories,3.8,119.0,3215.5,4.1258,True,4.1142,-0.3142,1147,637,-510,suspicious: apply Bayesian formula
B09NY7W8YD,"POCO C31 (Shadow Gray, 64 GB) (4 GB RAM)",Mobiles&Accessories,3.8,125.0,3215.5,4.1258,True,4.1136,-0.3136,1148,638,-510,suspicious: apply Bayesian formula
B0B8CHJLWJ,Kyosei Advanced Tempered Glass Compatible with Google Pixel 6a with Military-Grade Anti-Explosion Edge-to-Edge Coverage Screen Protector Guard,Mobiles&Accessories,4.5,596.0,3215.5,4.1258,True,4.1843,0.3157,45,550,505,suspicious: apply Bayesian formula
B0B21C4BMX,"Portronics Konnect Spydr 31 3-in-1 Multi Functional Cable with 3.0A Output, Tangle Resistant, 1.2M Length, Nylon Braided(Zebra)",Accessories&Peripherals,3.8,132.0,1313.0,4.145,True,4.1135,-0.3135,1126,639,-487,suspicious: apply Bayesian formula
B0BPBXNQQT,"Room Heater Warmer Wall-Outlet 400 Watts Electric Handy Room Heater (Room Heaters Home for Bedroom, Reading Books, Work, bathrooms, Rooms, Offices, Home Offices,2022","Heating,Cooling&AirQuality",4.3,70.0,248.2,3.9905,True,4.0586,0.2414,379,865,486,suspicious: apply Bayesian formula
B09VGKFM7Y,Amazon Basics 2 Amp USB Wall Charger & Micro USB Cable (White),Mobiles&Accessories,4.4,14.0,3215.5,4.1258,True,4.127,0.273,137,620,483,suspicious: apply Bayesian formula
B0B4SJKRDF,Kitchenwell Multipurpose Portable Electronic Digital Weighing Scale Weight Machine | Weight Machine | 10 Kg,Kitchen&HomeAppliances,4.3,7.0,623.5,4.0534,True,4.0561,0.2439,393,866,473,suspicious: apply Bayesian formula
B0B3JSWG81,NGI Store 2 Pieces Pet Hair Removers for Your Laundry Catcher Lint Remover for Washing Machine Lint Remover Reusable Portable Silica Gel Clothes Washer Dryer Floating Ball,Kitchen&HomeAppliances,3.1,2.0,623.5,4.0534,True,4.0504,-0.9504,1340,869,-471,suspicious: apply Bayesian formula
B09W5XR9RT,"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Accessories&Peripherals,4.4,184.0,1313.0,4.145,True,4.1763,0.2237,99,556,457,suspicious: apply Bayesian formula
B0BJ6P3LSK,"Aqua d pure Active Copper 12-L RO+UV Water Filter Purifier for Home, Kitchen Fully Automatic UF+TDS Controller",Kitchen&HomeAppliances,4.5,287.0,623.5,4.0534,True,4.1942,0.3058,95,545,450,suspicious: apply Bayesian formula
B0BMFD94VD,"White Feather Portable Heat Sealer Mini Sealing Machine for Food Storage Vacuum Bag, Chip, Plastic, Snack Bags, Package Home Closer Storage Tool (Multicolor) Random Colour",Kitchen&HomeAppliances,3.3,12.0,623.5,4.0534,True,4.0392,-0.7392,1332,884,-448,suspicious: apply Bayesian formula
B0BBW521YC,"LAPSTER 12pcs Spiral Cable Protectors for Charger, Wires, Data Charger Cable Protector for Computers, Cell Phones etc.(Grey)",Mobiles&Accessories,4.4,305.0,3215.5,4.1258,True,4.1496,0.2504,136,582,446,suspicious: apply Bayesian formula
B0BFBNXS94,"Personal Size Blender, Portable Blender, Battery Powered USB Blender, with Four Blades, Mini Blender Travel Bottle for Juice, Shakes, and Smoothies (Pink)",Kitchen&HomeAppliances,2.3,13.0,623.5,4.0534,True,4.0176,-1.7176,1349,907,-442,suspicious: apply Bayesian formula
B0B3TBY2YX,"AGARO Royal Double Layered Kettle, 1.5 Litres, Double Layered Cool Touch , Dry Boiling Protection, Black",Kitchen&HomeAppliances,4.3,55.0,623.5,4.0534,True,4.0734,0.2266,412,853,441,suspicious: apply Bayesian formula
B0BCYQY9X5,"Livpure Glo Star RO+UV+UF+Mineraliser - 7 L Storage Tank, 15 LPH Water Purifier for Home, Black",Kitchen&HomeAppliances,4.3,97.0,623.5,4.0534,True,4.0866,0.2134,402,833,431,suspicious: apply Bayesian formula
B0B65P827P,"Zebronics CU3100V Fast charging Type C cable with QC 18W support, 3A max capacity, 1 meter braided cable, Data transfer and Superior durability (Braided Black )",Accessories&Peripherals,3.9,61.0,1313.0,4.145,True,4.1341,-0.2341,1028,604,-424,suspicious: apply Bayesian formula
B09LV13JFB,LOHAYA Voice Assistant Remote Compatible for Airtel Xstream Set-Top Box Remote Control with Netflix Function (Black) (Non - Voice),"HomeTheater,TV&Video",3.3,23.0,404.8,4.0712,True,4.0297,-0.7297,1322,899,-423,suspicious: apply Bayesian formula
B0B65MJ45G,"Zebronics CU3100V Fast charging Type C cable with QC 18W support, 3A max capacity, 1 meter braided cable, Data transfer and Superior durability (Braided Black + White)",Accessories&Peripherals,3.9,61.0,1313.0,4.145,True,4.1341,-0.2341,1025,603,-422,suspicious: apply Bayesian formula
